iter	MultiClass
166	0.2716412023
167	0.2702232079
168	0.2688806622
169	0.2676130197
170	0.2662780617
171	0.2649603651
172	0.2636596464
173	0.262371119
174	0.2611849964
175	0.2599292157
176	0.2587177925
177	0.2575384805
178	0.256282413
179	0.2550779235
180	0.2538503395
181	0.2526769811
182	0.2515182457
183	0.2503692332
184	0.2492951341
185	0.2482373264
186	0.2471290958
187	0.2460293912
188	0.2449431532
189	0.2438740467
190	0.2428179139
191	0.2417215383
192	0.2406384711
193	0.2395685068
194	0.2385114436
195	0.2374670837
196	0.236564404
197	0.2356722689
198	0.2346593352
199	0.2336923635
200	0.2327400802
201	0.2317952216
202	0.2309517211
203	0.2300584971
204	0.2291024354
205	0.2281575254
206	0.2276421382
207	0.2267486995
208	0.2258277572
209	0.2249529169
210	0.2240507722
211	0.2231959691
212	0.2224028916
213	0.2215655607
214	0.2207418886
215	0.2199382679
216	0.2190870407
217	0.2182991929
218	0.2175197671
219	0.2166921628
220	0.2158738141
221	0.2150954779
222	0.2142931964
223	0.2135302971
224	0.2130816444
225	0.2124025908
226	0.2116265225
227	0.2108883527
228	0.2101721579
229	0.2094772422
230	0.2087591023
231	0.2080169983
232	0.2073613193
233	0.2066720623
234	0.2061018368
235	0.2054151347
236	0.2047052065
237	0.2040254488
238	0.203366493
239	0.2026753298
240	0.2020453459
241	0.2014043515
242	0.2007315707
243	0.2000848079
244	0.1994775811
245	0.1988764722
246	0.1982270512
247	0.197637356
248	0.1972512128
249	0.1966503181
250	0.1962909172
251	0.1956980836
252	0.1951114811
253	0.1947308413
254	0.1941180858
255	0.1935459329
256	0.1929572781
257	0.1923608922
258	0.1918509832
259	0.1912777845
260	0.1909246269
261	0.1903609351
262	0.1897867347
263	0.1892182888
264	0.1886555229
265	0.1880983636
266	0.1875467387
267	0.187014923
268	0.1864882983
269	0.1860252768
270	0.185507877
271	0.1850181142
272	0.1845670153
273	0.1840566921
274	0.1837747125
275	0.1832713551
276	0.1828348193
277	0.1823399985
278	0.1818536549
279	0.1813668417
280	0.180945003
281	0.1804666805
282	0.1801808907
283	0.1797095912
284	0.1792364928
285	0.1787537179
286	0.1783519043
287	0.1779899758
288	0.1775176977
289	0.1771080097
290	0.1766539673
291	0.1762086232
292	0.1757508345
293	0.1753324123
294	0.1750577406
295	0.1746192964
296	0.1741846773
297	0.1737420909
298	0.1733165058
299	0.1728809424
300	0.1724621437
301	0.1721027399
302	0.1717108787
303	0.1714517265
304	0.1710304436
305	0.1706290441
306	0.1702210858
307	0.1698090521
308	0.1695937833
309	0.1692675677
310	0.1689292717
311	0.1685795261
312	0.1681923087
313	0.1679565158
314	0.1675745245
315	0.1671860128
316	0.1667962364
317	0.1665946202
318	0.1662749213
319	0.1659222683
320	0.165593049
321	0.1652312582
322	0.1649072037
323	0.1645641314
324	0.1642583624
325	0.1639573935
326	0.163604887
327	0.1632554115
328	0.1629117639
329	0.1627726259
330	0.1624834518
331	0.1621449123
332	0.1618061661
333	0.161504317
334	0.1612381497
335	0.161053026
336	0.1609454697
337	0.1607388288
338	0.160409088
339	0.1601157261
340	0.1601102318
341	0.1599062095
342	0.1595664903
343	0.1592296565
344	0.1590303851
345	0.1587144279
346	0.1583839364
347	0.1580562275
348	0.1578930734
349	0.1576926413
350	0.1574292039
351	0.1571213152
352	0.15679557
353	0.1564782181
354	0.1561786729
355	0.1558882841
356	0.1557213518
357	0.1554267194
358	0.1551666972
359	0.154882914
360	0.1545956876
361	0.1543085099
362	0.1541185443
363	0.1538414428
364	0.15356649
365	0.1532706814
366	0.1529889206
367	0.1528678273
368	0.1525889655
369	0.1523150345
370	0.1520194007
371	0.1518603956
372	0.151702197
373	0.1514631285
374	0.1512839486
375	0.1510472008
376	0.1507662816
377	0.1504876136
378	0.1502111731
379	0.1499926134
380	0.1497306799
381	0.1495531905
382	0.149410065
383	0.1491557584
384	0.1488877808
385	0.1488800104
386	0.1488734177
387	0.1486179467
388	0.1484687592
389	0.1482049463
390	0.1479537564
391	0.1477341638
392	0.1474862838
393	0.1472289285
394	0.1470157008
395	0.1469040828
396	0.1466616334
397	0.1465023251
398	0.1463578301
399	0.1461486212
