iter	MultiClass
0	1.083589999
1	1.071359001
2	1.058254064
3	1.043552051
4	1.030278278
5	1.019534493
6	1.005964243
7	0.9939962172
8	0.9837529563
9	0.9747475801
10	0.9619827646
11	0.9491435795
12	0.9361393468
13	0.9276651755
14	0.9167108105
15	0.9046791218
16	0.896401388
17	0.8847970893
18	0.874275682
19	0.8646497627
20	0.8538845918
21	0.843051166
22	0.8327259901
23	0.8219525048
24	0.8114230725
25	0.8022146175
26	0.7943022838
27	0.7848051438
28	0.7757885326
29	0.7663661447
30	0.7568475075
31	0.7505712788
32	0.7416259162
33	0.7344972381
34	0.7270887383
35	0.7187913113
36	0.7117696099
37	0.7052061261
38	0.6983837999
39	0.6918529429
40	0.6846826995
41	0.679542119
42	0.6728795047
43	0.6651053377
44	0.6574840429
45	0.6509060475
46	0.6455575158
47	0.6397969917
48	0.63263934
49	0.626338023
50	0.620443379
51	0.6136375371
52	0.6069601359
53	0.6003818877
54	0.5947786047
55	0.5884270058
56	0.5836117819
57	0.5774854007
58	0.5721666082
59	0.5663678521
60	0.5614052083
61	0.5577225802
62	0.552416923
63	0.5470033176
64	0.5414680945
65	0.5370644941
66	0.5326941879
67	0.5276410956
68	0.5234827375
69	0.5185941039
70	0.5135657524
71	0.5093897972
72	0.5052861887
73	0.5006540697
74	0.496203364
75	0.4919857091
76	0.4875969323
77	0.4838862848
78	0.4794243162
79	0.4762696324
80	0.4722868548
81	0.4688245291
82	0.4647781197
83	0.4606156076
84	0.4577226048
85	0.4543775205
86	0.4506383117
87	0.4473948444
88	0.4436415043
89	0.4406623575
90	0.4379891742
91	0.434606883
92	0.4311300928
93	0.4275104556
94	0.4241481369
95	0.4209750238
96	0.4183470614
97	0.4150938638
98	0.4119140022
99	0.4088684725
100	0.4055927736
101	0.4029174087
102	0.4000972233
103	0.3970556294
104	0.3940633828
105	0.3910062067
106	0.3882525399
107	0.3858839428
108	0.3832772899
109	0.3803786191
110	0.3776278174
111	0.3749481474
112	0.3724831821
113	0.3700634969
114	0.3673630487
115	0.3648219643
116	0.362542574
117	0.3599487581
118	0.3576981896
119	0.3554042124
120	0.352907318
121	0.3504485915
122	0.3483329924
123	0.3460266552
124	0.343812027
125	0.3416026611
126	0.3393061918
127	0.3371575321
128	0.3350595232
129	0.3329621393
130	0.3311163004
131	0.3292889924
132	0.3273378479
133	0.3252377942
134	0.3232822621
135	0.3216447261
136	0.3197921334
137	0.3178744095
138	0.3159058068
139	0.3143735844
140	0.3124519839
141	0.3107145561
142	0.3088351387
143	0.3070301121
144	0.3055255343
145	0.3038399372
146	0.3020534429
147	0.3002942105
148	0.2987074985
149	0.2969573609
150	0.2953615013
151	0.293927429
152	0.292328386
153	0.2907767462
154	0.2893408691
155	0.2877396629
156	0.2861310788
157	0.2845652559
158	0.2829963083
159	0.2814728092
160	0.2800510961
161	0.2785620959
162	0.2771242654
163	0.2756708568
164	0.2744563833
165	0.2730384931
