iter	RMSE
0	21.48820854
1	21.20977362
2	20.94015364
3	20.67357759
4	20.44146291
5	20.20109682
6	19.97879973
7	19.736154
8	19.49214573
9	19.25540603
10	19.04056883
11	18.82189391
12	18.61966264
13	18.44753087
14	18.26883488
15	18.06098233
16	17.87364843
17	17.66861138
18	17.48188975
19	17.31511289
20	17.15609543
21	16.95148637
22	16.77257584
23	16.60615301
24	16.42864985
25	16.2718932
26	16.08399125
27	15.93206653
28	15.80658341
29	15.6499408
30	15.48666455
31	15.34349818
32	15.20965036
33	15.06997963
34	14.92570925
35	14.77539903
36	14.64849098
37	14.52366882
38	14.3868109
39	14.25144819
40	14.09717983
41	13.96478165
42	13.84848656
43	13.72502237
44	13.62358551
45	13.50099267
46	13.4031736
47	13.31146891
48	13.22602476
49	13.12101216
50	13.01437967
51	12.91556847
52	12.81444765
53	12.7207968
54	12.63001644
55	12.53709241
56	12.44639331
57	12.35991609
58	12.28102309
59	12.1911425
60	12.08747858
61	12.00191773
62	11.91952814
63	11.82880974
64	11.73191277
65	11.62677265
66	11.53190374
67	11.45037645
68	11.37083374
69	11.31110019
70	11.21755809
71	11.14555225
72	11.06466882
73	10.99616659
74	10.94411795
75	10.86427033
76	10.80147142
77	10.7475097
78	10.68674144
79	10.62240331
80	10.56051956
81	10.47802605
82	10.41971255
83	10.36060868
84	10.28641438
85	10.20554364
86	10.14828651
87	10.0853364
88	10.05425112
89	9.987950582
90	9.940278554
91	9.897503225
92	9.837073478
93	9.758805094
94	9.715048163
95	9.651592499
96	9.596654871
97	9.542578759
98	9.475946043
99	9.40597189
100	9.348578245
101	9.303729357
102	9.250995081
103	9.19073364
104	9.149733056
105	9.093282426
106	9.050029634
107	9.011624121
108	8.96912004
109	8.915356256
110	8.87160909
111	8.827184721
112	8.765798941
113	8.730781878
114	8.706090837
115	8.665020766
116	8.632846477
117	8.578194749
118	8.538757823
119	8.505764396
120	8.475593387
121	8.428302576
122	8.385648428
123	8.355023819
124	8.317871914
125	8.277052336
126	8.226827274
127	8.190672021
128	8.161427321
129	8.136665573
130	8.086001653
131	8.043332465
132	8.003679972
133	7.970415529
134	7.948596277
135	7.913796322
136	7.88445205
137	7.833369597
138	7.806459158
139	7.774137865
140	7.745326638
141	7.703166151
142	7.661029416
143	7.634490957
144	7.590175395
145	7.540058308
146	7.500149409
147	7.456731665
148	7.424395163
149	7.391777757
150	7.363347952
151	7.32511907
152	7.288102032
153	7.248430733
154	7.223082238
155	7.181322343
156	7.14972365
157	7.133046245
158	7.099078017
159	7.08210502
160	7.059016652
161	7.031611816
162	6.996202637
163	6.972276067
164	6.939819018
165	6.914533745
166	6.880790124
167	6.867136687
168	6.836585685
169	6.809195141
170	6.796169507
171	6.770712648
